city	facebook	network	state	station	twitter	website	broadcaster	source	collection_date	name	phone	address	linkedin	instagram
Des Moines	https://www.facebook.com/kcci8		IA	KCCI-TV	https://twitter.com/KCCINews	http://www.kcci.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Sacramento/Stockton/Modesto	https://www.facebook.com/KCRA3?fref=ts		CA	KCRA-TV	https://twitter.com/kcranews	http://www.kcra.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Kansas City	https://www.facebook.com/KCWE29?fref=ts		MO	KCWE-TV		http://www.kmbc.com/kcwetv	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Omaha	https://www.facebook.com/ketv7?fref=ts		NE	KETV	https://twitter.com/KETV	http://www.ketv.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Fort Smith/Fayettville	https://www.facebook.com/4029news?fref=ts		AR	KHBS-TV/KHOG-TV	https://twitter.com/4029news	http://www.4029tv.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Kansas City	https://www.facebook.com/kmbc9?fref=ts		MO	KMBC-TV	https://twitter.com/kmbc	http://www.kmbc.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Albuquerque	https://www.facebook.com/KOAT7?fref=ts		NM	KOAT-TV	https://twitter.com/koat7news	http://www.koat.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Oklahoma City	https://www.facebook.com/koco5?fref=ts		OK	KOCO-TV	https://twitter.com/koconews	http://www.koco.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Sacramento/Stockton/Modesto			CA	KQCA-TV		http://www.kcra.com/my58	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Monterey-Salinas	https://www.facebook.com/ksbw8?fref=ts		CA	KSBW-TV	https://twitter.com/ksbw	http://www.ksbw.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Jackson	https://www.facebook.com/16wapt?fref=ts		MS	WAPT-TV	https://twitter.com/16WAPTNews	http://www.wapt.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Baltimore	https://www.facebook.com/wbaltv11		MD	WBAL-TV	https://twitter.com/wbaltv11	http://www.wbaltv.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
Boston	https://www.facebook.com/wcvb5		MA	WCVB-TV	https://twitter.com/WCVB	http://www.wcvb.com/	Hearst	hearst.com	2018-08-02 14:55:24.612585					
