title	city	state	website	broadcaster	source	collection_date
KTVF	Fairbanks	AK	www.webcenter11.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KTUU	Anchorage	AK	www.alaskasnewssource.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KMOT	Minot	ND	www.kfyrtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KUMV	Williston	ND	www.kfyrtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KVLY	Fargo-Valley City	ND	www.valleynewslive.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KQCD	Dickinson	ND	www.kfyrtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KFYR	Bismarck	ND	www.kfyrtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KBJR	Duluth	MN	northernnewsnow.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WAGM	Presque Isle	ME	www.wagmtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WLUC	Marquette	MI	www.uppermichiganssource.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KPTV	Beaverton	OR	www.kptv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WSAW	Wausau-Rhinelander	WI	www.wsaw.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WEAU	Eau Claire-La Crosse	WI	www.weau.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WABI	Bangor	ME	www.wabi.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WBAY	Green Bay	WI	www.wbay.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WCAX	Burlington	VT	www.wcax.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KEYC	Mankato	MN	www.keyc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KTTC	Rochester-Mason City	MN	www.kttc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOTA	Rapid City	SD	www.kotatv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KEVN	Rapid City	SD	www.blackhillsfox.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WWNY	Watertown	NY	www.wwnytv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KSFY	Sioux Falls	SD	www.dakotanewsnow.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WMTV	Madison	WI	www.nbc15.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WNEM	Flint	MI	www.wnem.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KCWY	Mills	WY	www.wyomingnewsnow.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WILX	Lansing	MI	www.wilx.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KMVT	Twin Falls	ID	www.kmvt.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KTIV	Sioux City	IA	www.ktiv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WIFR	Rockford	IL	www.wifr.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WGGB	Springfield	MA	www.westernmassnews.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WBNG	Binghamton	NY	www.wbng.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KCRG	Cedar Rapids	IA	www.kcrg.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KNEP	Scottsbluff	NE	www.nbcnebraskascottsbluff.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WNDU	South Bend	IN	www.wndu.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTVG	Toledo	OH	www.13abc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WFSB	Rocky Hill	CT	www.wfsb.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KWQC	Davenport-Moline	IA	www.kwqc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WOIO-WUAB	Cleveland	OH	www.cleveland19.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WOWT	Omaha	NE	www.wowt.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KGWN	Cheyenne	WY	www.wyomingnewsnow.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KIIT	North Platte	NE	www.knopnews2.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KNOP	North Platte	NE	www.knopnews2.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KNPL	North Platte	NE	www.knopnews2.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WPTA	Fort Wayne	IN	www.wpta21.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KYOU	Ottumwa-Kirksville	IA	www.kyoutv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOLN-KGIN	Lincoln	NE	www.1011now.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
Tupelo-Raycom	New York	NY	tupelohoney.net	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KSNB	Lincoln - Hastings - Kearney	NE	www.ksnblocal4.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WEEK	Peoria	IL	25newsnow.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WGEM	Quincy	IL	www.wgem.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOLO	Reno	NV	www.kolotv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WDTV	Clarksburg	WV	www.wdtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTAP	Parkersburg	WV	www.wtap.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WXIX	Cincinnati	OH	www.fox19.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KJCT	Grand Junction-Montrose	CO	www.kjct8.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
