name,state,city,medium,website,twitter,facebook,instagram,youtube,owner,phone,source,collection_date
KAIT, AR,Jonesboro    ,TV station,www.kait8.com,,,,,Gray TV,,https://gray.tv/,56:06.1
KWHE,HI, Honolulu,TV station,https://kwhetv14.com/,,,,,Family Broadcasting Corporation,,stationindex,50:01.7
WGVK,MI, Kalamazoo. MI,TV station,http://www.wgvu.org/,,,,,Grand Valley State University,,stationindex,50:01.7
WAFB-WBXH, LA,Baton Rouge ,TV station,www.wafb.com,,,,,Gray TV,,https://gray.tv/,56:06.1
KNIC-CD,TX, San Antonio,TV station,,,,,,Univision,,stationindex,50:01.7
KAUZ, TX,Wichita Falls    ,TV station,www.newschannel6now.com,,,,,Gray TV,,https://gray.tv/,56:06.1
KTUU,AK, Anchorage,TV station,http://www.ktuu.com/,,,,,Schurz Communications,,stationindex,50:01.7
KTBY,AK, Anchorage,TV station,http://www.ktbytv.com/,,,,,Coastal Television Broadcasting,,stationindex,50:01.7
KYES,AK, Anchorage,TV station,http://www.kyes.com/,,,,,Fireweed Communications,,stationindex,50:01.7
KNIK-LP,AK, Anchorage,TV station,http://www.knik.com/,,,,,Fireweed Communications,,stationindex,50:01.7
KAKM,AK, Anchorage,TV station,http://www.kakm.org/,,,,,Alaska Public Telecommunications,,stationindex,50:01.7
KTVA,AK, Anchorage,TV station,http://www.ktva.com/,,,,,MediaNews Group,,stationindex,50:01.7
KTPP-LD,AK, Anchorage,TV station,,,,,,One Ministries,,stationindex,50:01.7
KYUR,AK, Anchorage,TV station,http://www.youralaskalink.com/,,,,,Coastal Television Broadcasting Company,,stationindex,50:01.7
KDMD,AK, Anchorage,TV station,,,,,,Ketchikan Television,,stationindex,50:01.7
KCFT-LP,AK, Anchorage,TV station,Alaska Broadcast Television,,,,,,,stationindex,50:01.7
KACN-LP,AK, Anchorage,TV station,,,,,,Dan Etulain,,stationindex,50:01.7
KATN,AK, Fairbanks,TV station,http://www.aksuperstation.com/,,,,,Smith Media,,stationindex,50:01.7
KFXF,AK, Fairbanks,TV station,http://www.tvtv.com/,,,,,Tanana Valley Television,,stationindex,50:01.7
KUAC,AK, Fairbanks,TV station,http://www.alaskaone.org/,,,,,University of Alaska,,stationindex,50:01.7
K13XD,AK, Fairbanks,TV station,http://www.tvtv.com/,,,,,Tanana Valley Television,,stationindex,50:01.7
KDMD-LP,AK, Fairbanks,TV station,,,,,,Ketchikan Television,,stationindex,50:01.7
KTVF,AK,Fairbanks,TV station,www.webcenter11.com,,,,,Gray TV,,https://gray.tv/,56:06.1
KTUU,AK,Anchorage,TV station,www.alaskasnewssource.com,,,,,Gray TV,,https://gray.tv/,56:06.1
WCIQ,AL, Mount Cheaha,TV station,http://www.aptv.org/,,,,,Alabama Public Television,,stationindex,50:01.7
WBIQ,AL, Birmingham,TV station,http://www.aptv.org/,,,,,Alabama Public Television,,stationindex,50:01.7
WVTM,AL, Birmingham,TV station,https://www.wvtm13.com/,,,,,Nexstar Media Group,,stationindex,50:01.7
WDBB,AL, Bessemer,TV station,http://www.wtto21.com/,,,,,,,stationindex,50:01.7
WUOA,AL, Tuscaloosa,TV station,,,,,,University of Alabama,,stationindex,50:01.7
WSES,AL, Tuscaloosa,TV station,,,,,,Howard Stirk Holdings,,stationindex,50:01.7
WGWW,AL, Anniston,TV station,http://www.abc3340.com/,,,,,Howard Stirk Holdings,,stationindex,50:01.7
WPXH,AL, Gadsden,TV station,,,,,,Ion Media Networks,,stationindex,50:01.7
WBMA-LD,AL, Birmingham,TV station,https://abc3340.com/,,,,,Sinclair Broadcast Group,,stationindex,50:01.7
WTJP,AL, Gadsden,TV station,http://www.tbn.org/,,,,,Trinity Broadcasting Network,,stationindex,50:01.7
WPMI,AL, Mobile,TV station,http://www.wpmi.com/,,,,,Newport Television,,stationindex,50:01.7
WMPV,AL, Mobile,TV station,http://www.tbn.org/,,,,,Trinity Broadcasting Network,,stationindex,50:01.7
WDPM,AL, Mobile,TV station,,,,,,Word of God Fellowship (Daystar),,stationindex,50:01.7
WEIQ,AL, Mobile,TV station,http://www.aptv.org/,,,,,Alabama Educational Television,,stationindex,50:01.7
WBPG,AL, Gulf Shores,TV station,http://www.gocwtv.com/,,,,,LIN TV,,stationindex,50:01.7
WTZT-CD,AL, Athens,TV station,,,,,,Jamie Cooper Television,,stationindex,50:01.7
WHDF,AL, Florence,TV station,http://www.thevalleyscw.tv/,,,,,Lockwood Broadcast Group,,stationindex,50:01.7
WHIQ,AL, Huntsville,TV station,http://www.aptv.org/,,,,,Alabama Public Television,,stationindex,50:01.7
WAAY,AL, Huntsville,TV station,https://www.waaytv.com/,,,,,Allen Media Broadcasting,,stationindex,50:01.7
WFIQ,AL, Florence,TV station,http://www.aptv.org/,,,,,Alabama Public Television,,stationindex,50:01.7
WZDX,AL, Huntsville,TV station,http://www.fox54.com/,,,,,Huntsville Television Acquisition,,stationindex,50:01.7
WAKA,AL, Selma,TV station,http://www.waka.com/,,,,,Alabama Broadcasting Partners,,stationindex,50:01.7
WCOV,AL, Montgomery,TV station,http://www.wcov.com/,,,,,Woods Communications,,stationindex,50:01.7
WBMM,AL, Tuskegee,TV station,http://www.cwmontgomery.com/,,,,,Bahakel Communications,,stationindex,50:01.7
WAIQ,AL, Montgomery,TV station,http://www.aptv.org/,,,,,Alabama Educational Television,,stationindex,50:01.7
WBIH,AL, Selma,TV station,,,,,,Flinn Broadcasting,,stationindex,50:01.7
WNCF,AL, Montgomery,TV station,http://www.alabamanews.net/,,,,,SagamoreHill Broadcasting,,stationindex,50:01.7
WMCF,AL, Montgomery,TV station,,,,,,Trinity Broadcasting Network,,stationindex,50:01.7
WRJM,AL, Troy,TV station,http://www.wrjm.com/,,,,,Josie Park Broadcasting,,stationindex,50:01.7
WLGA,AL, Opelika,TV station,https://www.wlgatv.com/,,,,,CNZ Communications,,stationindex,50:01.7
WDIQ,AL, Dozier,TV station,http://www.aptv.org/,,,,,Alabama Educational Television Commission,,stationindex,50:01.7
WTVY,AL, Dothan,TV station,http://www.wtvynews4.com/,,,,,Gray Television,,stationindex,50:01.7
WDHN,AL, Dothan,TV station,https://www.dothanfirst.com/,,,,,Nexstar Media Group,,stationindex,50:01.7
WDFX,AL, Ozark,TV station,http://www.wdfxfox34.com/,,,,,Raycom,,stationindex,50:01.7
WGIQ,AL, Louisville,TV station,http://www.aptv.org/,,,,,Alabama Educational Television Commission,,stationindex,50:01.7
