station	website	city	state	broadcaster	source	collection_date
WPIX	pix11.com	New York	NY	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KTLA	ktla.com	Los Angeles	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WGN	wgntv.com	Chicago	IL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WPHL	phl17.com	Philadelphia	PA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KDAF	cw33.com	Dallas / Ft. Worth	TX	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KIAH	cw39.com	Houston	TX	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WDCW	dcnewsnow.com	Washington DC / Hagerstown MD	Washington DC / Hagerstown MD	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WDVM	dcnewsnow.com	Washington DC / Hagerstown MD	Washington DC / Hagerstown MD	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KRON	kron4.com	San Francisco	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WFLA	wfla.com	Tampa	FL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WTTA	wfla.com	Tampa	FL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KDVR	kdvr.com	Denver	CO	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KWGN	kwgn.com	Denver	CO	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WJW	fox8.com	Cleveland / Akron (Canton)	OH	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KTXL	fox40.com	Sacramento	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WJZY	qcnews.com	Charlotte	NC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WMYT	qcnews.com	Charlotte	NC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KOIN	koin.com	Portland	OR	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KRCW	KOIN.com	Portland	OR	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WNCN	cbs17.com	Raleigh	NC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KPLR	kplr11.com	St. Louis	MO	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KTVI	fox2now.com	St. Louis	MO	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WTTV	cbs4indy.com	Indianapolis	IN	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WXIN	fox59.com	Indianapolis	IN	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WKRN	wkrn.com	Nashville	TN	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KTVX	abc4.com	Salt Lake City	UT	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KUCW	abc4.com	Salt Lake City	UT	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KSWB	fox5sandiego.com	San Diego	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WCMH	nbc4i.com	Columbus	OH	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WDAF	fox4kc.com	Kansas City	MO	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WTNH	wtnh.com	Hartford / New Haven	CT	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WCTX	wtnh.com	Hartford / New Haven	CT	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KXAN	kxan.com	Austin	TX	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KNVA	thecwaustin.com	Austin	TX	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
