location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Abilene-Sweetwater	KTXS	ABC, CW	https://ktxs.com/Newsletter	Abilene-Sweetwater		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Albany - Schenectady - Troy, NY	WRGB	CBS	https://www.cbs6albany.comNewsletter	Albany - Schenectady - Troy	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Albany - Schenectady - Troy, NY	WCWN	CW	https://www.cwalbany.com	Albany - Schenectady - Troy	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Albany, GA	WFXL	FOX	https://www.wfxl.comNewsletter	Albany	GA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Amarillo, TX	KVII	ABC, CW	https://abc7amarillo.com/Newsletter	Amarillo	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Amarillo, TX	KVIH	ABC, CW	https://abc7amarillo.com/Newsletter	Amarillo	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Austin, TX	KEYE	CBS	https://www.cbsaustin.comNewsletter	Austin	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Bakersfield, CA	KBAK	CBS	https://bakersfieldnow.com/Newsletter	Bakersfield	CA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Bakersfield, CA	KBFX	FOX	https://bakersfieldnow.com/Newsletter	Bakersfield	CA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Baltimore, MD	WBFF	FOX, MyTV	https://www.foxbaltimore.comhttps://www.mytvbaltimore.comNewsletter	Baltimore	MD	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Baltimore, MD	WNUV	CW	https://www.cwbaltimore.com	Baltimore	MD	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Baltimore, MD	WUTB			Baltimore	MD	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Beaumont - Port Arthur, TX	KBTV			Beaumont - Port Arthur	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Beaumont - Port Arthur, TX	KFDM	CBS, CW, FOX	https://kfdm.com/https://fox4beaumont.com/Newsletter	Beaumont - Port Arthur	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Birmingham, AL	WABM	MyTV, ABC	https://www.wabm68.com	Birmingham	AL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
