station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WCBS	" ""CBS 2"""	NY	 New York City	 ViacomCBS	https://newyork.cbslocal.com/	 Digital Full-Power - 548 kW	 2.1 WCBS/CBS, 2.2 Start TV, 2.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WNBC	" ""4 New York"""	NY	 New York City	 NBC Universal	http://www.nbcnewyork.com/	 Digital Full-Power - 200.2 kW	 4.1 WNBC/NBC, 4.2 NBC Cozi TV	stationindex	2023-05-17 12:50:01.701573
WNYW	" ""FOX 5"""	NY	 New York City	 Fox Television Stations	http://www.fox5ny.com/	 Digital Full-Power - 246 kW	 5.1 Fox, 5.2 Movies!, 9.2 WWOR/My Network TV	stationindex	2023-05-17 12:50:01.701573
WNYZ-LP		NY	 New York	 Island Broadcasting Company		 Low-Power - 3 kW		stationindex	2023-05-17 12:50:01.701573
WABC	" ""ABC 7"""	NY	 New York City	 ABC	https://abc7ny.com/	 Digital Full-Power - 123 kW	 7.1 WABC/ABC, 7.2 Localish, 7.3 Laff TV	stationindex	2023-05-17 12:50:01.701573
WWOR	" ""My 9"""	NJ	 Secaucus	 Fox Television Stations	http://www.my9nj.com/	 Digital Full-Power - 170 kW	 9.1 WWOR/My Network TV, 9.3 Buzzr, 9.4 MundoMax	stationindex	2023-05-17 12:50:01.701573
WPIX	" ""CW 11"""	NY	 New York City	 E. W. Scripps Company	https://pix11.com/	 Digital Full-Power - 7.5 kW	 11.1 WPIX/CW, 11.2 Antenna TV, 11.3 This TV	stationindex	2023-05-17 12:50:01.701573
WNET	" ""Thirteen"""	NJ	 Newark	 WNET.org	http://www.wnet.org/	 Digital Educational Full-Power - 9.3 kW		stationindex	2023-05-17 12:50:01.701573
WEBR-LD		NY	 Manhattan	 K Licensee		 Digital Low-Power - 0.315 kW	 17.1 WEBR/GCN (Global Christian Network), 17.2 MBCD, 17.3 Radio Korea	stationindex	2023-05-17 12:50:01.701573
WLIW		NY	 Garden City	 WNET.org	http://www.wliw.org/	 Digital Educational Full-Power - 89.9 kW		stationindex	2023-05-17 12:50:01.701573
WNYE		NY	 New York City	 NYC Department of Information Technology & Telecommunications	http://www.nyc.gov/media	 Digital Educational Full-Power - 151 kW		stationindex	2023-05-17 12:50:01.701573
WPXN		NY	 New York City	 Ion Media Networks		 Digital Full-Power - 100 kW	 31.1 Ion, 31.2 Qubo, 31.3 Ion Life, 31.4 Ion Shop, 31.5 QVC, 31.6 HSN	stationindex	2023-05-17 12:50:01.701573
WJLP		NJ	 Middletown Township	 PMCM TV	https://www.newjerseynewsnetwork.com	 Digital Full-Power - 6.96 kW	 33.1 MeTV, 33.2 Laff, 33.3 Grit, 33.4 Court TV Mystery, 33.5 Retro TV, 33.6 Court TV, 33.8 NewsNet, 33.10 WJLP-WX	stationindex	2023-05-17 12:50:01.701573
WPXO-LD		NJ	 East Orange	 America CV Station Group		 Digital Low-Power - 3.5 kW	 34.1 WPXO	stationindex	2023-05-17 12:50:01.701573
WNYN-LD		NY	 New York	 Island Broadcasting Company		 Digital Low-Power - 3 kW	 39.1 Azteca America, 39.2 Infomercials, 39.3 Infomercials, 39.4 Infomercials, 39.5 Infomercials	stationindex	2023-05-17 12:50:01.701573
WXTV		NJ	 Paterson	 Univision Communications		 Digital Full-Power - 300 kW	 40.1 Univision, 40.2 Unimas, 40.3 Bounce, 40.4 Grit TV	stationindex	2023-05-17 12:50:01.701573
WSAH		CT	 Bridgeport	 Multicultural Television		 Digital Full-Power - 780 kW		stationindex	2023-05-17 12:50:01.701573
WKOB-LD		NY	 New York	 Nave Communications		 Digital Low-Power - 0.3 kW	 42.1 Daystar, 42.2 Daystar, 42.3 Retro TV, 42.4 Hot TV, 42.5 Infomercials	stationindex	2023-05-17 12:50:01.701573
WNJU	" ""Telemundo 47"""	NJ	 Newark	 NBC Universal	http://www.telemundo47.com/	 Digital Full-Power - 650 kW		stationindex	2023-05-17 12:50:01.701573
WRNN	" ""RNN"""	NY	 Kingston	 WRNN License Company	http://www.rnntv.com/	 Digital Full-Power - 950 kW		stationindex	2023-05-17 12:50:01.701573
WNJN	" ""NJTV"""	NJ	 Montclair	 New Jersey Public Broadcasting Authority	http://www.njtvonline.org/	 Digital Educational Full-Power - 200 kW	 50.1 NJTV	stationindex	2023-05-17 12:50:01.701573
WBQM-LD	" ""BuenaVision TV"""	NY	 New York	 Buenavision TV Network NY		 Digital Low-Power - 1.7 kW	 51.1 BuenaVision TV	stationindex	2023-05-17 12:50:01.701573
