Geography	Medium	City	Name	Website	Twitter_Name	Facebook	Instagram	Youtube	Address	Editor	Phone	source	collection_date
ak	Newspaper	Anchorage, AK	Alaska Dispatch News	http://www.adn.com	https://twitter.com/adndotcom	https://www.facebook.com/akdispatch	https://www.instagram.com/alaskadispatch/	https://www.youtube.com/user/AlaskaDispatch	300 W 31st Ave Anchorage, AK 99503-3878	David Hulen	907-257-4200	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Alaska Journal of Commerce	http://www.alaskajournal.com	https://twitter.com/alaskajournal	https://www.facebook.com/AlaskaJournal	https://www.instagram.com/alaskajournal/	http://www.youtube.com/user/AlaskaJournal	301 Arctic Slope Ave Anchorage, AK 99518-3035	Rona Johnson	907-561-4772	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Alaska Star	http://www.alaskastar.com	https://twitter.com/Alaska_Star	https://www.facebook.com/AlaskaStar			11401 Old Glenn Hwy Ste 105 Anchorage, AK 99577-7747	Rona Johnson	907-694-2727	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Anchorage Press	http://www.anchoragepress.com	https://twitter.com/anchoragepress	https://www.facebook.com/anchoragepress	https://www.instagram.com/anchpress/	http://www.youtube.com/channel/UCc7cggJkVzQ_kPJZUG8U_Hw	540 E 5th Ave Anchorage, AK 99501-2636	Nick Coltman	907-561-7737	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Dutch Harbor Fisherman	http://www.thedutchharborfisherman.com		https://www.facebook.com/pages/Bristol-Bay-TimesDutch-Harbor-Fisherman/285351581577579			PO Box 241582 Anchorage, AK 99524-1582	Carey Restino	907-299-1172	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Petroleum News	http://www.petroleumnews.com		https://www.facebook.com/PetroleumNews			PO Box 231647 Anchorage, AK 99523-1647	Kristen Nelson	907-522-9469	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Anchorage, AK	Turnagain Times	http://www.turnagaintimes.com					PO Box 1044 Anchorage, AK 99587-1044	Ken Smith	907-783-1135	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Bethel, AK	Delta Discovery	http://www.deltadiscovery.com		https://www.facebook.com/deltadiscovery			PO Box 1028 Bethel, AK 99559-1028	Greg Lincoln	907-543-4113	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Bethel, AK	Tundra Drums	http://www.thetundradrums.com		https://www.facebook.com/tundradrums			PO Box 103 Bethel, AK 99664-0103	Annette Shacklett	907-224-4888	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Cordova, AK	Cordova Times	http://www.thecordovatimes.com		https://www.facebook.com/pages/The-Cordova-Times/159874207366016		https://www.youtube.com/channel/UCE6oxu3u4dVtcvHNkbM27kA	PO Box 1388 Cordova, AK 99574-1388	Jennifer Gibbins	907-424-7738	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Delta Junction, AK	Delta News Web	http://www.deltanewsweb.com		https://www.facebook.com/pages/Delta-News-Web/514170478629814			PO Box 1024 Delta Junction, AK 99737-1024	Pam Dunklebarger	907-895-4919	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Delta Junction, AK	Delta Wind	http://www.deltawindonline.com		https://www.facebook.com/DeltaWindOnline			PO Box 986 Delta Junction, AK 99737-0986	Michael Paschall	907-895-5115	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Dillingham, AK	Bristol Bay Times	http://www.thebristolbaytimes.com		https://www.facebook.com/pages/Bristol-Bay-TimesDutch-Harbor-Fisherman/285351581577579			PO Box 241582 Dillingham, AK 99524-1582	Carey Restino	907-299-1172	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Fairbanks, AK	Fairbanks Daily News-Miner	http://www.newsminer.com	https://twitter.com/newsminer	https://www.facebook.com/fairbanksDNM	https://www.instagram.com/fairbanksdnm/	http://www.youtube.com/user/fairbanksnewsminer	200 N Cushman St Fairbanks, AK 99701-2832	Rod Boyce	907-456-6661	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Haines, AK	Chilkat Valley News	http://www.chilkatvalleynews.com					PO Box 630 Haines, AK 99827-0630	Tom Morphet	907-766-2688	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Homer, AK	Homer News	http://homernews.com		https://www.facebook.com/pages/Homer-News/143584662338822			3482 Landings St Homer, AK 99603-7948	Lori Evans	907-235-7767	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Homer, AK	Homer Tribune	http://homertribune.com		https://www.facebook.com/homertribune	https://www.instagram.com/homertribune/		412 E Pioneer Ave Ste 3 Homer, AK 99603-7621	Sean Pearson	907-235-3714	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Juneau, AK	Capital City Weekly	http://capitalcityweekly.com	https://twitter.com/capweekly	https://www.facebook.com/capitalcityweekly		https://www.youtube.com/channel/UCBuxMOdWNGeiqYC1JYfdYAg	3100 Channel Dr Ste 2 Juneau, AK 99801-7837	Mary Catharine Martin	907-789-4144	usnpl.com	2023-05-17 15:42:39.278164
ak	Newspaper	Juneau, AK	Juneau Empire	http://juneauempire.com	https://twitter.com/JuneauEmpire	https://www.facebook.com/juneauempire		http://www.youtube.com/user/TheJuneauEmpire	3100 Channel Dr Ste 1 Juneau, AK 99801-7837	Charles Westmoreland	907-586-3740	usnpl.com	2023-05-17 15:42:39.278164
